16/29 17/15 -9/2 -2/21 67/68 -35/26 -33/95 34/31 -5/7 -1/58 67/29 27/29 2/9 1/92 41/97 <
-73/69 61/98 41/84 -69/77 -7/19 41/10 33/40 17/36 15/19 40/23 97/11 -41/94 -41/86 -4/5 -95/88 <
-7 -37/68 7/4 -95/48 3/43 36/43 4/3 66/17 56/65 43/97 1 19/10 79/85 3/20 32/33 <
-35/3 34/11 1/4 13/87 -8/11 -92/87 -31/23 -31/33 31/35 49/73 3 96/7 -13/3 -11/23 -1/2 <
-31/85 -45/76 -9/26 -32/49 3/92 -7/62 -3 23/3 -22/39 47/2 -29/36 91/9 12/19 -25/11 -48/73 <
-2 95/86 -33/5 5/79 -3/14 31/43 -25/19 7/22 11/30 1/5 10/9 -24/97 -37/57 95/17 -48/25 <
-65/28 -64/43 1/9 58/49 -79/18 13/11 8 -65/27 -57/59 -21/23 -47/46 27/77 45/7 -95/8 -14/3 <
-95/37 13/2 -84/43 31/6 -9/28 -1 -13/96 -87/20 91/88 9/53 -33/49 37/22 -2/3 1/16 9/28 <
1/37 -94/85 -62/19 -41/16 -19/62 22/67 95/43 4/23 5/36 -51/20 -47/27 -79/58 43/68 80/49 20/27 <
-26/3 7/25 92/95 21/20 21/19 13/35 -15/43 31/3 1/28 33/20 -1/2 -88/37 0 46/97 4/7 <
-11/73 -43/27 -2/5 34/81 19 -1 -1 87/7 -35/39 -83/63 71/65 13/31 -5/8 -33/35 -49/26 <
-68 -31/20 17/31 7/5 19/12 94/27 61/14 -86/13 35/41 1/7 -1 94/77 2/57 -94/19 -72/19 <
6/7 15/19 37/23 -6/19 -19/71 -23/55 -74/13 -99/68 -43/56 -23/28 3/11 -22 25/28 -11/24 -11/28 <
-73/84 13/45 -80/61 -44/97 -99/29 -19/64 -26/61 -83/14 19/9 0 -1/11 8 -67/12 15/29 87/49 <
7/5 2 31/3 17/3 37/7 -15/13 94/57 -63/65 -1 -8/15 -94/51 -19/50 -27/11 2/19 19/23 <
-44/3 -53/87 -88/73 -50/89 -95/56 52/57 24/43 31/85 51/76 65/42 76/91 -32/41 31/75 36/61 -9/8 <
77/34 -3/17 31/16 -13/16 -88/63 -3/2 -26/23 -11/3 84/25 -43/77 91/48 43/94 1 45/91 25/6 <
-81/88 20/7 -80/29 97/63 -5/2 27/7 -43/3 -41/59 -61/54 9 -32/75 67/47 -3/11 43/47 2/35 <
-35/76 -1/25 -13/12 -1/2 95/86 42/83 65/58 -12/19 67/96 -1/16 -19/8 -1/89 40/43 -13/12 -1/2 <
81/8 71/25 -6/35 29/72 4/7 42 67/56 -59/43 19/59 -2 -25/9 52/51 71/48 -6/7 -17/71 <
2/29 -50/81 -2/9 -45/41 -41/12 33 5/6 -71/42 29/17 19/4 11/29 -93/26 25/13 -60/59 40/13 <
-27/86 -57/23 -28/37 53/76 5/91 -73/30 65/67 17/69 61/36 7/9 7/5 21/80 0 -37/6 -29/13 <
2/27 -36/41 -69/20 1/38 81/86 43/35 -7/15 71/88 14/13 -14/67 0 69/85 -99/91 5/6 -19/32 <
-52 -65/96 -30/43 31/18 -38/31 71/47 -28/5 -9/26 29/6 -2/33 23/45 -23/6 -51/44 23/14 13/9 <
-61/93 -27/11 -26/25 19/56 31/28 43/67 3 -44/21 19/48 59/38 -5/11 39/5 7/13 96/55 -88/23 <
63/37 68/5 3/14 3/10 -71/19 -3/7 -15/2 -3/14 16/39 -47/42 -96/11 -79/80 -61/21 -1/4 -45/47 <
14/69 -80 -35/34 -8 89/6 -19/37 5 87/13 -48/37 7/18 28/13 25/41 28/13 29/30 -26/19 <
0 85/24 -13/11 93/47 -7/19 39/31 91/80 -22/7 2/11 7/23 65/74 5/6 21/41 -4/7 -95/22 <
-13/87 -63/58 77/54 33/35 96/23 -13/29 -11/26 7/5 10/19 0 5/17 5/6 10/7 23/31 -1/2 <
-7/3 -89/51 -44/19 -58/43 -5/93 -3/34 77/68 3/2 -23/42 -7 -2/17 -79/61 -97/55 -97/96 -95/86 <
4/93 2/23 -27/31 -52/5 83/56 74/77 -16/15 -71/10 39/47 7/27 1/2 -14/51 69/34 94/41 -31/3 <
16/3 -15/13 -30/59 55/59 -2/5 46/65 -5/58 -5/6 65/86 1/90 -74/45 1/5 -7/22 -11/29 -40/7 <
-1/30 -17/10 -9/8 23/19 4/51 -38/37 16/9 -6 -19/36 13/6 0 -24/49 -23/68 -93/26 -1/43 <
73/72 1/69 -73/54 -22/17 91/71 62 11/14 -5/4 0 -14/5 55/28 -1/3 2 74/57 -19/8 <
-77/52 -85/53 -16/21 -29/2 16/45 -20/47 -11/92 15/2 22/95 -21/8 -10/31 -21/26 1 91/36 -87/7 <
37/23 -3/2 49/19 61/58 -13/98 -35/22 -36/95 -69/55 -54/35 -37/20 -35/6 -67/61 -5 -25/17 -9/17 <
23/26 80/79 62/61 75/59 59/37 7/13 61/48 17/90 -37/50 -57/8 -17/82 74/79 7/93 47/85 28/37 <
